English lemma,Swedish lemma,POS,status
bit,bit,too many possible pos tags: N V,too many possible pos tags: N V
blacklist,svartlista,,no pos found
book,boka,,no pos found
boosters,förstärkare,,no pos found
boot,ladda,too many possible pos tags: N V,too many possible pos tags: N V
bootstrap,programladda,,no pos found
border,gränsa,,no pos found
bot,bot,,no pos found
branding,varumärkesbyggande,,no pos found
brewing,bryggning,,no pos found
bridge,brygga,too many possible pos tags: N V,too many possible pos tags: N V
brief,kort,too many possible pos tags: N A,too many possible pos tags: N A
broadband,bredband,,no pos found
bugs,buggar,too many possible pos tags: N V,too many possible pos tags: N V
built,byggd,,no pos found
bunches,klasar,,no pos found
bypassing,förbikoppling,,no pos found
byte,byte,,no pos found
c-language,c-språk,,no pos found
calculator,räknare,,no pos found
calculator,miniräknare,,no pos found
calculus,analys,,no pos found
call,kalla,too many possible pos tags: N V,too many possible pos tags: N V
cartography,kartografi,,no pos found
cassette,kassett,,no pos found
charms,charmar,,no pos found
cheating,fusk,,no pos found
cipher,chiffer,,no pos found
circuit-switched,kretskopplat,,no pos found
circular,cirkulär,too many possible pos tags: N A,too many possible pos tags: N A
city-wide,stadsomfattande,,no pos found
classifier,klassificerare,,no pos found
click,klicka,,no pos found
clone,klon,,no pos found
co-correlation,sam-korrelation,,no pos found
co-located,samlokaliserade,,no pos found
co-precipitation,samutfällning,,no pos found
coffee,kaffe,,no pos found
cognition,kognition,,no pos found
coherency,sammanhang,,no pos found
colour,färg,,no pos found
combinatorial,kombinatorisk,,no pos found
command,kräva,too many possible pos tags: N V,too many possible pos tags: N V
commuting,pendling,,no pos found
compatibility,förenlighet,,no pos found
compilers,kompilatorer,,no pos found
complex,komplex,too many possible pos tags: N A,too many possible pos tags: N A
complex,komplex,too many possible pos tags: N A,too many possible pos tags: N A
compliant,tillmötesgående,,no pos found
comprehensive,omfattande,,no pos found
computable,beräkningsbar,,no pos found
computing,datoranvändning,,no pos found
concrete,konkret,too many possible pos tags: N A,too many possible pos tags: N A
concurrency,samtidighet,,no pos found
concurrency,samtidighet,,no pos found
concurrency,samtidighet,,no pos found
concurrent,samverkande,,no pos found
concurrent,jämlöpande,,no pos found
conduits,ledningar,,no pos found
connectivity,anslutning,,no pos found
connector,kopplingsdon,,no pos found
consensus,konsensus,,no pos found
console,konsol,,no pos found
constant,konstant,too many possible pos tags: N A,too many possible pos tags: N A
constant,konstant,too many possible pos tags: N A,too many possible pos tags: N A
constant,konstant,too many possible pos tags: N A,too many possible pos tags: N A
constrain,begränsa,,no pos found
constraints,restriktioner,,no pos found
constructor,konstruktor,,no pos found
consults,konsulterar,,no pos found
content,innehåll,too many possible pos tags: N V,too many possible pos tags: N V
convergence,konvergens,,no pos found
convergence,konvergens,,no pos found
converter,konverterare,,no pos found
cooperative,kooperativ,too many possible pos tags: N A,too many possible pos tags: N A
copyright,upphovsrätt,,no pos found
cordless,sladdlös,,no pos found
core,kärna,too many possible pos tags: N V,too many possible pos tags: N V
core-shell,kärna-skal,,no pos found
corner-cube,hörn-kub,,no pos found
corporate,företags,,no pos found
cost-saving,kostnadsbesparande,,no pos found
countdown,nedräkning,,no pos found
countermeasure,motåtgärd,,no pos found
countermeasures,motåtgärder,,no pos found
county-level,län-nivå,,no pos found
covariance,kovarians,,no pos found
cross-border,gränsöverskridande,,no pos found
crosstalk,överhörning,,no pos found
cryptanalysis,kryptoanalys,,no pos found
cryptanalysis,kryptanalys,,no pos found
cryptography,kryptografi,,no pos found
cryptography,kryptografi,,no pos found
cryptology,kryptologi,,no pos found
curve,svänga,,no pos found
cyan,cyan,,no pos found
cybernetics,cybernetik,,no pos found
cyberspace,cyberrymd,,no pos found
cyclic,cyklisk,,no pos found
cycling,cykling,,no pos found
cypher,chiffer,,no pos found
dashed,streckad,,no pos found
database,databas,,no pos found
deadlocks,dödlägen,,no pos found
debiting,debitering,,no pos found
decayed,skämda,,no pos found
dedicated,dedicerad,,no pos found
deeper,djupare,too many possible pos tags: A Ab,too many possible pos tags: A Ab
deferred,uppskjuten,,no pos found
definitive,avgörande,,no pos found
delete,radera,,no pos found
densification,förtätning,,no pos found
dependencies,beroenden,,no pos found
depleted,utarmat,,no pos found
descriptive,beskrivande,,no pos found
desktop,skrivbord,,no pos found
despite,trots,,no pos found
developmental,utvecklings,,no pos found
diagnostics,diagnostik,,no pos found
diagnostics,diagnostik,,no pos found
diagnostics,diagnostik,,no pos found
diagnostics,diagnostik,,no pos found
diagnostics,diagnostik,,no pos found
diagnostics,diagnostik,,no pos found
different,annorlunda,,no pos found
differently,annorlunda,,no pos found
digging,grävning,,no pos found
diode,diod,,no pos found
disjunction,disjunktion,,no pos found
dispersed,dispergerad,,no pos found
displaced,förskjutna,,no pos found
distributed,distribuerad,,no pos found
domain-flux,domän-flux,,no pos found
double,dubbla,too many possible pos tags: A V,too many possible pos tags: A V
double,dubbel,too many possible pos tags: N A,too many possible pos tags: N A
download,hämta,,no pos found
download,nedladdning,,no pos found
drop,släppa,too many possible pos tags: N V,too many possible pos tags: N V
drop,fall,too many possible pos tags: N V,too many possible pos tags: N V
dumps,dumpar,,no pos found
e-book,e-bok,,no pos found
e-business,e-handel,,no pos found
e-government,e-förvaltning,,no pos found
e-learning,e-lärande,,no pos found
e-mail,e-post,,no pos found
earlier,tidigare,too many possible pos tags: A Ab,too many possible pos tags: A Ab
eight,åtta,,no pos found
electromagnetic,elektromagnetisk,,no pos found
electromechanical,elektromekaniska,,no pos found
elliptic,elliptisk,,no pos found
elsewhere,annorstädes,,no pos found
embed,inbädda,,no pos found
emitting,emitterande,,no pos found
employed,anställd,,no pos found
employee,anställd,,no pos found
encapsulation,inkapsling,,no pos found
encode,koda,,no pos found
encrypt,kryptera,,no pos found
encryption,kryptering,,no pos found
encryption,kryptering,,no pos found
end,slut,too many possible pos tags: N V,too many possible pos tags: N V
energy-conserving,energibesparande,,no pos found
energy-efficient,energieffektiv,,no pos found
enhancement,förbättring,,no pos found
enhancement,förbättringar,,no pos found
enhancement,förbättring,,no pos found
enough,tillräckligt,too many possible pos tags: A Ab,too many possible pos tags: A Ab
enriched,berikad,,no pos found
environmental,miljö-,,no pos found
equalizer,utjämnare,,no pos found
equivalent,ekvivalent,too many possible pos tags: N A,too many possible pos tags: N A
ergonomics,ergonomi,,no pos found
ergonomics,ergonomi,,no pos found
error-checking,felkontroll,,no pos found
error-checking,felkontroll,,no pos found
error-checking,felkontroll,,no pos found
error-checking,felkontroll,,no pos found
error-checking,felkontroll,,no pos found
error-checking,felkontroll,,no pos found
error-checking,felkontroll,,no pos found
escape,fly,too many possible pos tags: N V,too many possible pos tags: N V
european,europeiska,too many possible pos tags: N A,too many possible pos tags: N A
event-driven,händelsestyrd,,no pos found
everywhere,överallt,,no pos found
except,utom,,no pos found
excluded,uteslutna,,no pos found
exterior,yttre,,no pos found
exterior,yttre,,no pos found
extract,utdrag,too many possible pos tags: N V,too many possible pos tags: N V
extreme,extrem,too many possible pos tags: N A,too many possible pos tags: N A
facilities-based,faciliteter-baserade,,no pos found
fading,blekning,,no pos found
fairly,ganska,,no pos found
famines,svält,,no pos found
fan,fläkt,too many possible pos tags: N V,too many possible pos tags: N V
farther,längre,,no pos found
fashion,mode,,no pos found
faster,snabbare,too many possible pos tags: A Ab,too many possible pos tags: A Ab
fault-tolerance,feltolerans,,no pos found
fewer,färre,,no pos found
filing,arkivering,,no pos found
firewall,brandvägg,,no pos found
flash,sken,too many possible pos tags: N V,too many possible pos tags: N V
fleet,flotta,too many possible pos tags: N A,too many possible pos tags: N A
flooding,översvämning,,no pos found
foldable,vikbar,,no pos found
footprint,fotavtryck,,no pos found
forwarding,spedition,,no pos found
four-legged,fyrbent,,no pos found
frameworks,ramar,,no pos found
franchising,franchising,,no pos found
free,fri,,no pos found
free-running,frigång,,no pos found
free-time,fri-tid,,no pos found
front-end,framända,,no pos found
functionality,funktionalitet,,no pos found
fundamental,grundläggande,,no pos found
furnished,möblerad,,no pos found
fused,kondenserad,,no pos found
future,framtida,,no pos found
future,framtida,,no pos found
gaming,spel,,no pos found
generative,generativ,,no pos found
generative,generativ,,no pos found
generic,generisk,,no pos found
generic,generisk,,no pos found
geologic,geologiska,,no pos found
getting,få,,no pos found
gigabit,gigabit,,no pos found
gigabyte,gigabyte,,no pos found
globalization,globalisering,,no pos found
glucose,glukos,,no pos found
golden,guld-,,no pos found
good,bra,,no pos found
graphic,grafik,,no pos found
graphics,grafik,,no pos found
graphics,grafik,,no pos found
grid,rutnät,,no pos found
grouping,gruppering,,no pos found
guideline,riktlinje,,no pos found
haiku,haiku,,no pos found
handheld,handhållen,,no pos found
handoff,överlämning,,no pos found
handover,överlämning,,no pos found
handset-based,lur-baserade,,no pos found
handshaking,handskakning,,no pos found
harder,hårdare,too many possible pos tags: A Ab,too many possible pos tags: A Ab
head,leda,too many possible pos tags: N V,too many possible pos tags: N V
hertz,hertz,,no pos found
heuristic,heuristik,,no pos found
hierarchical,hierarkisk,,no pos found
hierarchical,hierarkisk,,no pos found
high,hög,too many possible pos tags: N A,too many possible pos tags: N A
hint,antyda,too many possible pos tags: N V,too many possible pos tags: N V
histogram,histogram,,no pos found
hogging,svampsugna,,no pos found
holistic,helhetssyn,,no pos found
hopping,hoppande,,no pos found
hourglass,timglas,,no pos found
however,emellertid,,no pos found
hundreds,hundratals,,no pos found
hyperlink,hyperlänk,,no pos found
hypertext,hypertext,,no pos found
igniting,tända,,no pos found
image,föreställa,,no pos found
imperative,imperativ,too many possible pos tags: N A,too many possible pos tags: N A
in-order,i-ordning,,no pos found
